doc_id,baseline_x,baseline_y,run_x,run_y,displacement
doc_0943,13.95676,11.516751,13.95676,11.516751,0.0
doc_0944,12.263162,12.071304,12.263162,12.071304,0.0
doc_0945,11.794641,9.9737425,11.794641,9.9737425,0.0
doc_0946,11.840187,12.415143,11.840187,12.415143,0.0
doc_0947,10.981223,13.380992,10.981223,13.380992,0.0
doc_0948,11.5602255,13.209217,11.5602255,13.209217,0.0
doc_0949,11.498557,13.121036,11.498557,13.121036,0.0
doc_0950,13.59998,13.595013,13.59998,13.595013,0.0
doc_0951,11.869896,14.019327,11.869896,14.019327,0.0
doc_0952,11.95932,14.476366,11.95932,14.476366,0.0
doc_0953,11.909736,14.513591,11.909736,14.513591,0.0
doc_0954,12.168592,12.3324175,12.168592,12.3324175,0.0
doc_0955,12.323094,14.169789,12.323094,14.169789,0.0
doc_0956,12.154533,11.474016,12.154533,11.474016,0.0
doc_0957,11.738109,10.802457,11.738109,10.802457,0.0
doc_0958,9.630694,13.931836,9.630694,13.931836,0.0
doc_0959,12.386582,10.976829,12.386582,10.976829,0.0
doc_0960,9.28165,13.391068,9.28165,13.391068,0.0
doc_0961,13.957841,13.00932,13.957841,13.00932,0.0
doc_0962,9.060872,12.655785,9.060872,12.655785,0.0
doc_0963,12.162846,13.199183,12.162846,13.199183,0.0
doc_0964,12.740574,9.108033,12.740574,9.108033,0.0
doc_0965,12.373542,9.009061,12.373542,9.009061,0.0
doc_0966,8.6472845,12.4906845,8.6472845,12.4906845,0.0
doc_0967,12.742513,8.659169,12.742513,8.659169,0.0
doc_0968,12.943349,9.2422495,12.943349,9.2422495,0.0
doc_0969,12.497703,8.54533,12.497703,8.54533,0.0
doc_0970,12.577425,9.506839,12.577425,9.506839,0.0
doc_0971,12.144808,8.386859,12.144808,8.386859,0.0
doc_0972,13.350152,13.318021,13.350152,13.318021,0.0
doc_0973,12.762286,9.0514965,12.762286,9.0514965,0.0
doc_0974,13.224511,11.161735,13.224511,11.161735,0.0
doc_0975,13.182491,10.512602,13.182491,10.512602,0.0
doc_0976,13.217588,10.543005,13.217588,10.543005,0.0
doc_0977,13.153499,10.593193,13.153499,10.593193,0.0
doc_0978,13.036056,10.545242,13.036056,10.545242,0.0
doc_0979,11.471621,14.358713,11.471621,14.358713,0.0
doc_0980,11.214532,11.238031,11.214532,11.238031,0.0
doc_0981,11.319689,11.263739,11.319689,11.263739,0.0
doc_0982,10.880062,13.992692,10.880062,13.992692,0.0
doc_0983,11.519329,12.18754,11.519329,12.18754,0.0
doc_0984,10.343002,13.436976,10.343002,13.436976,0.0
doc_0985,11.341203,12.09387,11.341203,12.09387,0.0
doc_0986,11.425611,11.660211,11.425611,11.660211,0.0
doc_0987,9.529035,10.812104,9.529035,10.812104,0.0
doc_0988,11.080229,10.339437,11.080229,10.339437,0.0
doc_0989,11.042145,10.279459,11.042145,10.279459,0.0
doc_0990,10.803731,11.87084,10.803731,11.87084,0.0
doc_0991,11.4792595,13.853897,11.4792595,13.853897,0.0
doc_0992,12.487218,14.875663,12.487218,14.875663,0.0
doc_0993,12.888549,14.117418,12.888549,14.117418,0.0
doc_0994,13.167785,11.999354,13.167785,11.999354,0.0
doc_0995,12.362243,12.071537,12.362243,12.071537,0.0
doc_0996,9.45459,13.850925,9.45459,13.850925,0.0
doc_0997,9.702711,10.032891,9.702711,10.032891,0.0
doc_0998,11.666367,12.471606,11.666367,12.471606,0.0
doc_0999,11.20127,12.62157,11.20127,12.62157,0.0
doc_1000,11.118572,12.669247,11.118572,12.669247,0.0
doc_1001,11.296985,13.899847,11.296985,13.899847,0.0
doc_1002,10.525016,13.090865,10.525016,13.090865,0.0
doc_1003,9.6390915,12.361847,9.6390915,12.361847,0.0
doc_1004,9.622507,12.130439,9.622507,12.130439,0.0
doc_1005,8.856989,12.320016,8.856989,12.320016,0.0
doc_1006,9.395599,14.042336,9.395599,14.042336,0.0
doc_1007,11.415032,10.354807,11.415032,10.354807,0.0
doc_1008,11.610372,11.573429,11.610372,11.573429,0.0
doc_1009,11.16318,13.757637,11.16318,13.757637,0.0
doc_1010,10.395504,12.940546,10.395504,12.940546,0.0
doc_1011,12.115937,13.547355,12.115937,13.547355,0.0
doc_1012,8.801635,12.492222,8.801635,12.492222,0.0
doc_1013,9.988389,12.694399,9.988389,12.694399,0.0
doc_1014,12.288688,14.434504,12.288688,14.434504,0.0
doc_1015,10.993198,9.8462515,10.993198,9.8462515,0.0
doc_1016,11.5364,12.340954,11.5364,12.340954,0.0
doc_1017,11.594124,11.782162,11.594124,11.782162,0.0
doc_1018,13.022792,13.114784,13.022792,13.114784,0.0
doc_1019,10.320342,11.057672,10.320342,11.057672,0.0
doc_1020,10.465479,12.4696,10.465479,12.4696,0.0
doc_1021,13.599878,12.496513,13.599878,12.496513,0.0
doc_1022,10.853387,12.980939,10.853387,12.980939,0.0
doc_1023,11.573129,12.423159,11.573129,12.423159,0.0
doc_1024,10.318388,13.797863,10.318388,13.797863,0.0
doc_1025,10.996051,12.326177,10.996051,12.326177,0.0
doc_1026,11.503386,11.885505,11.503386,11.885505,0.0
doc_1027,11.399287,11.931691,11.399287,11.931691,0.0
doc_1028,12.189106,14.766506,12.189106,14.766506,0.0
doc_1029,11.825433,11.987637,11.825433,11.987637,0.0
doc_1030,11.257626,12.100984,11.257626,12.100984,0.0
doc_1031,11.480053,13.636,11.480053,13.636,0.0
doc_1032,12.654116,10.619598,12.654116,10.619598,0.0
doc_1033,14.258074,12.466221,14.258074,12.466221,0.0
doc_1034,14.097093,12.516237,14.097093,12.516237,0.0
doc_1035,11.559889,15.557951,11.559889,15.557951,0.0
doc_1036,12.963508,12.612695,12.963508,12.612695,0.0
doc_1037,13.099296,12.720969,13.099296,12.720969,0.0
doc_1038,10.44138,12.500692,10.44138,12.500692,0.0
doc_1039,13.168344,14.702403,13.168344,14.702403,0.0
doc_1040,13.043084,14.612812,13.043084,14.612812,0.0
doc_1041,12.035707,12.005537,12.035707,12.005537,0.0
doc_1042,14.230929,11.331192,14.230929,11.331192,0.0
doc_1043,13.330691,14.698896,13.330691,14.698896,0.0
doc_1044,12.975917,14.683259,12.975917,14.683259,0.0
doc_1045,12.511033,15.083281,12.511033,15.083281,0.0
doc_1046,12.693564,14.971539,12.693564,14.971539,0.0
doc_1047,12.641641,14.562379,12.641641,14.562379,0.0
doc_1048,13.255817,15.659978,13.255817,15.659978,0.0
doc_1049,13.158404,15.5597315,13.158404,15.5597315,0.0
doc_1050,13.288079,14.8822,13.288079,14.8822,0.0
doc_1051,13.474862,14.613837,13.474862,14.613837,0.0
doc_1052,13.144157,13.614686,13.144157,13.614686,0.0
doc_1053,10.720942,15.059008,10.720942,15.059008,0.0
doc_1054,13.231165,12.468714,13.231165,12.468714,0.0
doc_1055,13.342337,14.678399,13.342337,14.678399,0.0
doc_1056,12.563315,15.088752,12.563315,15.088752,0.0
doc_1057,13.486255,14.526622,13.486255,14.526622,0.0
doc_1058,13.090303,14.255586,13.090303,14.255586,0.0
doc_1059,12.919648,13.908081,12.919648,13.908081,0.0
doc_1060,13.4271555,14.267595,13.4271555,14.267595,0.0
doc_1061,10.665434,13.140438,10.665434,13.140438,0.0
doc_1062,12.789719,13.928465,12.789719,13.928465,0.0
doc_1063,12.953291,14.208263,12.953291,14.208263,0.0
doc_1064,12.442488,13.005026,12.442488,13.005026,0.0
doc_1065,12.44894,13.246232,12.44894,13.246232,0.0
doc_1066,13.239052,15.461474,13.239052,15.461474,0.0
doc_1067,11.688947,13.286044,11.688947,13.286044,0.0
doc_1068,13.470095,14.354032,13.470095,14.354032,0.0
doc_1069,13.0118475,14.803863,13.0118475,14.803863,0.0
doc_1070,13.415546,14.380754,13.415546,14.380754,0.0
doc_1071,13.023948,14.563862,13.023948,14.563862,0.0
doc_1072,12.1769705,13.188223,12.1769705,13.188223,0.0
doc_1073,13.498723,14.593949,13.498723,14.593949,0.0
doc_1074,10.885953,11.834467,10.885953,11.834467,0.0
doc_1075,12.771763,14.873421,12.771763,14.873421,0.0
doc_1076,11.000844,13.520852,11.000844,13.520852,0.0
doc_1077,12.962726,14.845681,12.962726,14.845681,0.0
doc_1078,11.2257185,13.725187,11.2257185,13.725187,0.0
doc_1079,13.424316,14.613634,13.424316,14.613634,0.0
doc_1080,11.952323,13.801645,11.952323,13.801645,0.0
doc_1081,12.430575,13.606548,12.430575,13.606548,0.0
doc_1082,15.193934,13.979144,15.193934,13.979144,0.0
doc_1083,13.327823,14.705331,13.327823,14.705331,0.0
doc_1084,14.294291,12.256803,14.294291,12.256803,0.0
doc_1085,11.858181,12.204498,11.858181,12.204498,0.0
doc_1086,11.098463,12.982297,11.098463,12.982297,0.0
doc_1087,10.128277,12.746366,10.128277,12.746366,0.0
doc_1088,12.627009,14.090884,12.627009,14.090884,0.0
doc_1089,11.02003,13.07429,11.02003,13.07429,0.0
doc_1090,12.228279,12.931052,12.228279,12.931052,0.0
doc_1091,12.728682,10.61411,12.728682,10.61411,0.0
doc_1092,10.478138,12.679042,10.478138,12.679042,0.0
doc_1093,14.358771,12.435011,14.358771,12.435011,0.0
doc_1094,14.1548395,11.089663,14.1548395,11.089663,0.0
doc_1095,14.166807,11.141373,14.166807,11.141373,0.0
doc_1096,10.937848,12.386571,10.937848,12.386571,0.0
doc_1097,14.155164,11.294874,14.155164,11.294874,0.0
doc_1098,12.879125,13.071569,12.879125,13.071569,0.0
doc_1099,10.005122,12.588127,10.005122,12.588127,0.0
doc_1100,12.106835,12.78528,12.106835,12.78528,0.0
doc_1101,11.912576,12.458208,11.912576,12.458208,0.0
doc_1102,10.822884,12.464784,10.822884,12.464784,0.0
doc_1103,10.946808,12.36328,10.946808,12.36328,0.0
doc_1104,10.934642,12.406448,10.934642,12.406448,0.0
doc_1105,11.422802,12.480879,11.422802,12.480879,0.0
doc_1106,10.673826,13.673026,10.673826,13.673026,0.0
doc_1107,12.372079,13.078685,12.372079,13.078685,0.0
doc_1108,12.679188,10.59283,12.679188,10.59283,0.0
doc_1109,11.877718,14.058193,11.877718,14.058193,0.0
doc_1110,11.658389,13.397271,11.658389,13.397271,0.0
doc_1111,11.987036,13.318415,11.987036,13.318415,0.0
doc_1112,11.838169,14.043462,11.838169,14.043462,0.0
doc_1113,12.974491,14.332796,12.974491,14.332796,0.0
doc_1114,12.477976,10.6502,12.477976,10.6502,0.0
doc_1115,12.337742,12.994055,12.337742,12.994055,0.0
doc_1116,12.352315,12.506415,12.352315,12.506415,0.0
doc_1117,11.49412,13.119528,11.49412,13.119528,0.0
doc_1118,11.541516,13.570617,11.541516,13.570617,0.0
doc_1119,11.949735,13.162796,11.949735,13.162796,0.0
doc_1120,11.508565,14.131707,11.508565,14.131707,0.0
doc_1121,12.256432,12.696887,12.256432,12.696887,0.0
doc_1122,12.108966,12.583729,12.108966,12.583729,0.0
doc_1123,10.100219,11.046301,10.100219,11.046301,0.0
doc_1124,12.176835,12.791485,12.176835,12.791485,0.0
doc_1125,9.65885,11.922182,9.65885,11.922182,0.0
doc_1126,8.623268,12.50668,8.623268,12.50668,0.0
doc_1127,11.013052,10.807635,11.013052,10.807635,0.0
doc_1128,11.114666,10.887724,11.114666,10.887724,0.0
doc_1129,10.576633,10.55001,10.576633,10.55001,0.0
doc_1130,9.805647,10.203596,9.805647,10.203596,0.0
doc_1131,11.4214945,11.773704,11.4214945,11.773704,0.0
doc_1132,9.679492,13.617584,9.679492,13.617584,0.0
doc_1133,9.150339,10.346453,9.150339,10.346453,0.0
doc_1134,10.347109,9.925827,10.347109,9.925827,0.0
doc_1135,10.263822,12.2360735,10.263822,12.2360735,0.0
doc_1136,11.306615,11.554575,11.306615,11.554575,0.0
doc_1137,10.364965,9.748848,10.364965,9.748848,0.0
doc_1138,10.556862,10.086616,10.556862,10.086616,0.0
doc_1139,10.022721,9.667985,10.022721,9.667985,0.0
doc_1140,10.356295,9.66729,10.356295,9.66729,0.0
doc_1141,11.33132,11.959246,11.33132,11.959246,0.0
doc_1142,7.7599444,10.5931835,7.7599444,10.5931835,0.0
doc_1143,9.969704,12.350839,9.969704,12.350839,0.0
doc_1144,11.674758,11.846253,11.674758,11.846253,0.0
doc_1145,11.483073,11.883972,11.483073,11.883972,0.0
doc_1146,12.752229,8.981698,12.752229,8.981698,0.0
doc_1147,10.998108,8.964713,10.998108,8.964713,0.0
doc_1148,11.063841,8.91042,11.063841,8.91042,0.0
doc_1149,10.964533,10.585888,10.964533,10.585888,0.0
doc_1150,11.017841,11.559714,11.017841,11.559714,0.0
doc_1151,13.843464,12.554784,13.843464,12.554784,0.0
doc_1152,9.24655,15.764001,9.24655,15.764001,0.0
doc_1153,11.106545,11.903473,11.106545,11.903473,0.0
doc_1154,11.496748,11.940932,11.496748,11.940932,0.0
doc_1155,11.814302,12.743318,11.814302,12.743318,0.0
doc_1156,10.633522,12.661208,10.633522,12.661208,0.0
doc_1157,4.9701724,13.411491,4.9701724,13.411491,0.0
doc_1158,9.213734,15.745347,9.213734,15.745347,0.0
doc_1159,9.8954315,13.152543,9.8954315,13.152543,0.0
doc_1160,10.19624,13.241625,10.19624,13.241625,0.0
doc_1161,9.219773,11.757841,9.219773,11.757841,0.0
doc_1162,13.613878,13.358993,13.613878,13.358993,0.0
doc_1163,7.730605,10.646154,7.730605,10.646154,0.0
doc_1164,12.696849,11.255182,12.696849,11.255182,0.0
doc_1165,12.530558,12.6581545,12.530558,12.6581545,0.0
doc_1166,12.6441345,11.263749,12.6441345,11.263749,0.0
doc_1167,11.671911,11.846311,11.671911,11.846311,0.0
doc_1168,10.635863,12.160903,10.635863,12.160903,0.0
doc_1169,11.056984,12.442596,11.056984,12.442596,0.0
doc_1170,12.534146,9.898031,12.534146,9.898031,0.0
doc_1171,11.522885,11.320885,11.522885,11.320885,0.0
doc_1172,4.809994,13.513743,4.809994,13.513743,0.0
doc_1173,9.519176,11.68239,9.519176,11.68239,0.0
doc_1174,10.473588,12.726635,10.473588,12.726635,0.0
doc_1175,10.451565,12.709076,10.451565,12.709076,0.0
doc_1176,11.132727,12.644828,11.132727,12.644828,0.0
doc_1177,10.4700775,11.814513,10.4700775,11.814513,0.0
doc_1178,12.552959,11.173147,12.552959,11.173147,0.0
doc_1179,12.506915,11.175538,12.506915,11.175538,0.0
doc_1180,10.48496,12.699131,10.48496,12.699131,0.0
doc_1181,11.139983,10.864409,11.139983,10.864409,0.0
doc_1182,11.245544,11.124742,11.245544,11.124742,0.0
doc_1183,10.775456,10.385151,10.775456,10.385151,0.0
doc_1184,11.357065,11.000178,11.357065,11.000178,0.0
doc_1185,11.59048,11.094637,11.59048,11.094637,0.0
doc_1186,11.443268,11.538265,11.443268,11.538265,0.0
doc_1187,8.613957,15.108684,8.613957,15.108684,0.0
doc_1188,11.40418,11.807616,11.40418,11.807616,0.0
doc_1189,12.202846,11.646624,12.202846,11.646624,0.0
doc_1190,10.493216,9.85835,10.493216,9.85835,0.0
doc_1191,11.080538,12.673699,11.080538,12.673699,0.0
doc_1192,11.237342,12.814396,11.237342,12.814396,0.0
doc_1193,9.585689,15.5553,9.585689,15.5553,0.0
doc_1194,5.0050254,13.457496,5.0050254,13.457496,0.0
doc_1195,11.081908,8.939051,11.081908,8.939051,0.0
doc_1196,4.6893883,13.596951,4.6893883,13.596951,0.0
doc_1197,13.450107,10.465726,13.450107,10.465726,0.0
doc_1198,12.869806,8.822643,12.869806,8.822643,0.0
doc_1199,13.337764,11.052832,13.337764,11.052832,0.0
doc_1200,9.15401,13.590679,9.15401,13.590679,0.0
doc_1201,12.405741,9.753595,12.405741,9.753595,0.0
doc_1202,12.0624075,11.664234,12.0624075,11.664234,0.0
doc_1203,13.847705,10.71324,13.847705,10.71324,0.0
doc_1204,11.069166,12.649411,11.069166,12.649411,0.0
doc_1205,11.767591,11.681167,11.767591,11.681167,0.0
